dataset_id,model,training_rms_pixels,loo_rms_pixels,loo_maximum_pixels,anisotropy_ratio,perspective_magnitude
pass-01,similarity,3.7207956178113868,4.4634662444384698,5.8607251027577592,1.0000000000000004,0
pass-01,affine,1.4276717712847307,1.8865710161807607,3.4396984032971156,1.0132346564904666,0
pass-01,projective,1.305805620640522,1.9450086509677842,3.1519108548378298,1.0159697462078063,0.00029970671271507685
pass-02,similarity,3.6262134482590822,4.3390674632534862,5.5007901144823439,1,0
pass-02,affine,1.4478585269653841,1.9443207366409025,2.9745351670643805,1.0128053607885805,0
pass-02,projective,1.4219965785621891,2.1699210148320098,3.5462343652554673,1.0152613873918994,0.0001427964460305645
pass-03,similarity,3.8652022277006934,4.6375186234802648,6.4213790291196524,1,0
pass-03,affine,1.6838263237024267,2.2511229798354138,3.3669135300701791,1.0134261893663759,0
pass-03,projective,1.6284550692542286,2.4745005755682676,3.8402038783614838,1.0109123327588163,0.00022241862451789264
centroid,similarity,3.6597954913077171,4.3866204515687546,5.7514420662465877,1.0000000000000002,0
centroid,affine,1.3422284453025322,1.7909242669504306,2.541469463323299,1.0131223375748017,0
centroid,projective,1.2924733312989849,1.9565979549612984,3.3340612310414914,1.0139500891857065,0.00018797317806385055
