vertex_index,vertex_id,wall_a,wall_b,x_u,y_u,radius_from_origin_u,angle_degrees
0,wall_vertex_00,wall_north_west,wall_north,-2.422870787837,8.509295837615,8.847509169625,105.893361435612
1,wall_vertex_01,wall_north,wall_north_east,2.439508401964,8.484306931014,8.828061244855,73.958371569736
2,wall_vertex_02,wall_north_east,wall_east_north,6.175029043896,6.193747865755,8.746056043584,45.086710972235
3,wall_vertex_03,wall_east_north,wall_east,8.567117461727,2.256088001868,8.859200566372,14.753466149827
4,wall_vertex_04,wall_east,wall_east_south,8.550120010371,-2.380765596909,8.875392781120,344.440233973475
5,wall_vertex_05,wall_east_south,wall_south_east,6.195700562909,-6.221245275068,8.780125183492,314.882128653059
6,wall_vertex_06,wall_south_east,wall_south,2.352205967547,-8.577097780064,8.893788801323,285.335901000504
7,wall_vertex_07,wall_south,wall_south_west,-2.333912645162,-8.567906800044,8.880099952674,254.762243583245
8,wall_vertex_08,wall_south_west,wall_west_south,-6.192534021074,-6.155176527893,8.731189821077,224.826654491676
9,wall_vertex_09,wall_west_south,wall_west,-8.490131697073,-2.346177382616,8.808341759057,195.447695341010
10,wall_vertex_10,wall_west,wall_west_north,-8.511071168599,2.411894924670,8.846217811280,164.178159130556
11,wall_vertex_11,wall_west_north,wall_north_west,-6.197696144240,6.092049419378,8.690483509245,135.492521372976
