sequence_index,landmark_id,category,registration_role,description,pixel_centroid_x,pixel_centroid_y,normalized_x,normalized_y,pass_registered_centroid_x,pass_registered_centroid_y,click_rms_pixels,click_rms_normalized,pass_registered_rms_normalized,model_x,model_y,model_delta_x,model_delta_y,model_residual_normalized
0,square_corner_top_left,square_corner,registration,Top-left corner of the Earth square.,365.078901333333,1051.886397000000,-5.491523835444,5.488183141768,-5.491518546737,5.488180466972,1.437658511354,0.020234290341,0.015359216143,-5.500000000000,5.500000000000,0.008476164556,-0.011816858232,0.014542472419
1,square_corner_top_right,square_corner,registration,Top-right corner of the Earth square.,1141.344588000000,1051.263091333333,5.493725795842,5.464155204092,5.493724379757,5.464155910675,0.223270394733,0.003109400843,0.005905289983,5.500000000000,5.500000000000,-0.006274204158,-0.035844795908,0.036389765477
2,square_corner_bottom_right,square_corner,registration,Bottom-right corner of the Earth square.,1145.409524000000,1844.048933000000,5.498874421377,-5.502412820457,5.498872297657,-5.502411339009,0.488498832791,0.006776364344,0.003557199580,5.500000000000,-5.500000000000,-0.001125578623,-0.002412820457,0.002662448083
3,square_corner_bottom_left,square_corner,registration,Bottom-left corner of the Earth square.,368.966505666667,1845.479856333333,-5.488938048207,-5.489548985928,-5.488938972875,-5.489548825680,0.550205648878,0.007623296607,0.004053044566,-5.500000000000,-5.500000000000,0.011061951793,0.010451014072,0.015218096878
4,junction_top_left,square_circle_junction,registration,Left junction on the top side of the Earth square.,445.545711333333,1050.958764000000,-4.352748452814,5.497630386527,-4.352748740255,5.497630927529,0.249167205752,0.003523923673,0.005288037774,-4.330127018922,5.500000000000,-0.022621433892,-0.002369613473,0.022745204755
5,junction_top_right,square_circle_junction,registration,Right junction on the top side of the Earth square.,1060.580207666667,1050.513018666667,4.350850229175,5.477927734377,4.350847660253,5.477928152055,0.527471913046,0.007417186637,0.009231089997,4.330127018922,5.500000000000,0.020723210253,-0.022072265623,0.030276002922
6,junction_right_upper,square_circle_junction,registration,Upper junction on the right side of the Earth square.,1141.400502333333,1130.099899666667,5.489308674123,4.373624115465,5.489311193771,4.373623102181,0.709943392709,0.009994968539,0.005524095048,5.500000000000,4.330127018922,-0.010691325877,0.043497096543,0.044791761036
7,junction_right_lower,square_circle_junction,registration,Lower junction on the right side of the Earth square.,1145.866394333333,1757.546568000000,5.511054567118,-4.305867679974,5.511056665533,-4.305869085992,0.090971106876,0.001284688250,0.004154261373,5.500000000000,-4.330127018922,0.011054567118,0.024259338948,0.026659313201
8,junction_bottom_right,square_circle_junction,registration,Right junction on the bottom side of the Earth square.,1062.257850333333,1844.838596333333,4.322113704766,-5.509838641130,4.322114966806,-5.509838724704,0.379020212067,0.005349827651,0.005025191425,4.330127018922,-5.500000000000,-0.008013314156,-0.009838641130,0.012689052883
9,junction_bottom_left,square_circle_junction,registration,Left junction on the bottom side of the Earth square.,449.585225333333,1846.486255333333,-4.348140711109,-5.506861084117,-4.348139580860,-5.506862257934,0.743104066482,0.010477127325,0.007594578935,-4.330127018922,-5.500000000000,-0.018013692187,-0.006861084117,0.019276088334
10,junction_left_lower,square_circle_junction,registration,Lower junction on the left side of the Earth square.,368.314051333333,1763.411735000000,-5.492749295628,-4.354294907809,-5.492750512032,-4.354294074385,0.491844972781,0.006845525417,0.002974970854,-5.500000000000,-4.330127018922,0.007250704372,-0.024167888887,0.025232113806
11,junction_left_upper,square_circle_junction,registration,Upper junction on the left side of the Earth square.,365.435761666667,1132.916253666667,-5.491827049198,4.367303537188,-5.491830811017,4.367305748291,0.518707698545,0.007188282387,0.006695423127,-5.500000000000,4.330127018922,0.008172950802,0.037176518266,0.038064296068
12,moon_centre_00,moon_centre,validation,"Centre of Moon circle 00, ordered counter-clockwise from the top; model angle 90.000000 degrees.",534.394557333333,993.552961333333,-3.091624681204,6.287972676920,-3.091615359263,6.287967164121,1.323330086314,0.018496578849,0.021798902544,0.000000000000,7.000000000000,-3.091624681204,-0.712027323080,3.172558286027
13,moon_centre_01,moon_centre,validation,"Centre of Moon circle 01, ordered counter-clockwise from the top; model angle 115.911931 degrees.",751.473798000000,941.806682000000,-0.016241442982,6.994634868942,-0.016241812884,6.994634994298,0.238874716519,0.003340282199,0.009626353860,-3.058923694678,6.296267611064,3.042682251696,0.698367257877,3.121799498953
14,moon_centre_02,moon_centre,validation,"Centre of Moon circle 02, ordered counter-clockwise from the top; model angle 154.088069 degrees.",969.095141333333,992.851672000000,3.060022334442,6.279389794126,3.060016791985,6.279394513377,1.149598431185,0.016122294795,0.019667723176,-6.296267611064,3.058923694678,9.356289945507,3.220466099448,9.895027207749
15,moon_centre_03,moon_centre,validation,"Centre of Moon circle 03, ordered counter-clockwise from the top; model angle 180.000000 degrees.",1198.538127333333,1220.917698333333,6.291883365299,3.114962280233,6.291885692603,3.114960650947,0.369182865773,0.005165642962,0.003943236691,-7.000000000000,0.000000000000,13.291883365299,3.114962280233,13.652001809404
16,moon_centre_04,moon_centre,validation,"Centre of Moon circle 04, ordered counter-clockwise from the top; model angle 205.911931 degrees.",1250.231365666667,1441.947979000000,7.008810088607,0.055334582949,7.008828759407,0.055323816961,1.788339379577,0.024751334294,0.025728028696,-6.296267611064,-3.058923694678,13.305077699672,3.114258277627,13.664687966217
17,moon_centre_05,moon_centre,validation,"Centre of Moon circle 05, ordered counter-clockwise from the top; model angle 244.088069 degrees.",1201.548510000000,1664.524405000000,6.305177294541,-3.021458686490,6.305185730547,-3.021463654172,0.626810989748,0.008672584662,0.011249089916,-3.058923694678,-6.296267611064,9.364100989219,3.274808924575,9.920219797402
18,moon_centre_06,moon_centre,validation,"Centre of Moon circle 06, ordered counter-clockwise from the top; model angle 270.000000 degrees.",972.791523666667,1902.388227666667,3.052242245208,-6.302144504047,3.052242425261,-6.302143097093,0.822056883163,0.011607075047,0.009760190696,0.000000000000,-7.000000000000,3.052242245208,0.697855495953,3.131003835300
19,moon_centre_07,moon_centre,validation,"Centre of Moon circle 07, ordered counter-clockwise from the top; model angle 295.911931 degrees.",754.939771666667,1954.303885333333,-0.034084262340,-7.011117169744,-0.034081085200,-7.011118425461,0.808423748036,0.011437033847,0.008644518778,3.058923694678,-6.296267611064,-3.093007957018,-0.714849558679,3.174540614596
20,moon_centre_08,moon_centre,validation,"Centre of Moon circle 08, ordered counter-clockwise from the top; model angle 334.088069 degrees.",542.778530000000,1906.498365666667,-3.033294239714,-6.340912485473,-3.033298063442,-6.340909827621,0.819911065261,0.011383612317,0.009064409535,6.296267611064,-3.058923694678,-9.329561850778,-3.281988790795,9.890003779089
21,moon_centre_09,moon_centre,validation,"Centre of Moon circle 09, ordered counter-clockwise from the top; model angle 0.000000 degrees.",310.082606000000,1669.512550000000,-6.310599449612,-3.052963063291,-6.310601598726,-3.052964281962,2.260910283005,0.031362578478,0.029224219306,7.000000000000,0.000000000000,-13.310599449612,-3.052963063291,13.656230855321
22,moon_centre_10,moon_centre,validation,"Centre of Moon circle 10, ordered counter-clockwise from the top; model angle 25.911931 degrees.",260.017989666667,1450.012660666667,-7.004580076737,-0.014573365226,-7.004560928060,-0.014584521736,1.732595737705,0.023974374385,0.025998429361,6.296267611064,3.058923694678,-13.300847687802,-3.073497059904,13.651334491226
