sequence_index,landmark_id,category,description,model_x,model_y,registration_default
0,square_corner_top_left,square_corner,Top-left corner of the Earth square.,-5.5,5.5,true
1,square_corner_top_right,square_corner,Top-right corner of the Earth square.,5.5,5.5,true
2,square_corner_bottom_right,square_corner,Bottom-right corner of the Earth square.,5.5,-5.5,true
3,square_corner_bottom_left,square_corner,Bottom-left corner of the Earth square.,-5.5,-5.5,true
4,junction_top_left,square_circle_junction,Left junction on the top side of the Earth square.,-4.3301270189221936,5.5,true
5,junction_top_right,square_circle_junction,Right junction on the top side of the Earth square.,4.3301270189221936,5.5,true
6,junction_right_upper,square_circle_junction,Upper junction on the right side of the Earth square.,5.5,4.3301270189221936,true
7,junction_right_lower,square_circle_junction,Lower junction on the right side of the Earth square.,5.5,-4.3301270189221936,true
8,junction_bottom_right,square_circle_junction,Right junction on the bottom side of the Earth square.,4.3301270189221936,-5.5,true
9,junction_bottom_left,square_circle_junction,Left junction on the bottom side of the Earth square.,-4.3301270189221936,-5.5,true
10,junction_left_lower,square_circle_junction,Lower junction on the left side of the Earth square.,-5.5,-4.3301270189221936,true
11,junction_left_upper,square_circle_junction,Upper junction on the left side of the Earth square.,-5.5,4.3301270189221936,true
12,moon_centre_00,moon_centre,"Centre of Moon circle 00, ordered counter-clockwise from the top; model angle 90.000000 degrees.",0,7,false
13,moon_centre_01,moon_centre,"Centre of Moon circle 01, ordered counter-clockwise from the top; model angle 115.911931 degrees.",-3.0589236946778646,6.2962676110643772,false
14,moon_centre_02,moon_centre,"Centre of Moon circle 02, ordered counter-clockwise from the top; model angle 154.088069 degrees.",-6.2962676110643772,3.058923694677866,false
15,moon_centre_03,moon_centre,"Centre of Moon circle 03, ordered counter-clockwise from the top; model angle 180.000000 degrees.",-7,0,false
16,moon_centre_04,moon_centre,"Centre of Moon circle 04, ordered counter-clockwise from the top; model angle 205.911931 degrees.",-6.2962676110643772,-3.0589236946778646,false
17,moon_centre_05,moon_centre,"Centre of Moon circle 05, ordered counter-clockwise from the top; model angle 244.088069 degrees.",-3.0589236946778664,-6.2962676110643763,false
18,moon_centre_06,moon_centre,"Centre of Moon circle 06, ordered counter-clockwise from the top; model angle 270.000000 degrees.",0,-7,false
19,moon_centre_07,moon_centre,"Centre of Moon circle 07, ordered counter-clockwise from the top; model angle 295.911931 degrees.",3.0589236946778642,-6.296267611064378,false
20,moon_centre_08,moon_centre,"Centre of Moon circle 08, ordered counter-clockwise from the top; model angle 334.088069 degrees.",6.2962676110643763,-3.0589236946778668,false
21,moon_centre_09,moon_centre,"Centre of Moon circle 09, ordered counter-clockwise from the top; model angle 0.000000 degrees.",7,0,false
22,moon_centre_10,moon_centre,"Centre of Moon circle 10, ordered counter-clockwise from the top; model angle 25.911931 degrees.",6.2962676110643772,3.0589236946778655,false
23,moon_centre_11,moon_centre,"Centre of Moon circle 11, ordered counter-clockwise from the top; model angle 64.088069 degrees.",3.0589236946778655,6.2962676110643772,false
24,star_endpoint_00_top,star_endpoint,Apparent upper heptagram endpoint.,,,false
25,star_endpoint_01_upper_left,star_endpoint,"Apparent upper-left heptagram endpoint, ordered counter-clockwise from the top.",,,false
26,star_endpoint_02_lower_left,star_endpoint,"Apparent lower-left side heptagram endpoint, ordered counter-clockwise from the top.",,,false
27,star_endpoint_03_bottom_left,star_endpoint,"Apparent bottom-left heptagram endpoint, ordered counter-clockwise from the top.",,,false
28,star_endpoint_04_bottom_right,star_endpoint,"Apparent bottom-right heptagram endpoint, ordered counter-clockwise from the top.",,,false
29,star_endpoint_05_lower_right,star_endpoint,"Apparent lower-right side heptagram endpoint, ordered counter-clockwise from the top.",,,false
30,star_endpoint_06_upper_right,star_endpoint,"Apparent upper-right heptagram endpoint, ordered counter-clockwise from the top.",,,false
